ltr.class,rep,limb.diam.mm
1,1,5.1
1,1,6.07
1,1,5.42
1,1,3.82
1,1,11.13
1,1,7.63
1,1,4.85
1,1,5.12
1,1,7.05
1,1,6.95
1,1,7.11
1,1,14.94
1,1,6.62
1,1,5.63
1,1,5.39
1,1,9.57
1,1,4.9
1,1,8.09
1,1,7.45
1,1,5.73
1,1,3.55
1,1,5.75
1,1,12.92
1,1,5.7
1,1,7.34
1,1,17.59
1,1,4.15
1,1,4.73
1,1,5.61
1,1,7.09
1,1,5.39
1,1,7.41
1,1,8.75
1,1,2.29
1,1,9.06
1,1,7.08
1,1,10.58
1,1,10.74
1,1,12.4
1,1,13.37
1,1,5.82
1,1,8.2
1,1,6.8
1,1,6.39
1,1,9.06
1,1,13.02
1,1,8.41
1,1,7
1,1,3.17
1,1,4.71
1,1,8.5
1,1,7.67
1,1,5
1,1,6.06
1,1,11.3
1,1,5.97
1,1,5.93
1,1,3.67
1,1,2.84
2,1,3.57
2,1,3.64
2,1,3.2
2,1,4.85
2,1,6.56
2,1,9.81
2,1,3.83
2,1,6.13
2,1,8.64
2,1,4.58
2,1,6.84
2,1,14.51
2,1,16.01
2,1,3.4
2,1,3.91
2,1,9.2
2,1,8.13
2,1,5.87
2,1,8
2,1,6.2
2,1,5.46
2,1,4.32
2,1,9.95
2,1,9.86
2,1,4.37
2,1,3.94
2,1,14.53
2,1,7.25
2,1,6.77
2,1,5.08
2,1,4.24
2,1,7.36
2,1,10.28
2,1,6.24
2,1,4.08
2,1,6.35
2,1,6.14
2,1,4.62
2,1,7.48
2,1,4.28
2,1,10.15
2,1,5.99
2,1,11.01
2,1,4.53
2,1,4.12
2,1,4.64
2,1,4.66
2,1,5.54
2,1,14.49
2,1,6.87
2,1,7.68
2,1,4.86
2,1,5.68
2,1,6.87
2,1,5.12
2,1,7.74
2,1,16.24
2,1,5.34
2,1,11.5
2,1,15.7
2,1,7.63
3,1,3.34
3,1,4.44
3,1,3.05
3,1,3.51
3,1,2.6
3,1,5.12
3,1,8.96
3,1,6.47
3,1,9.71
3,1,5.83
3,1,2.32
3,1,5
3,1,4.57
3,1,9.62
3,1,3.86
3,1,2.5
3,1,2.15
3,1,7.19
3,1,6.19
3,1,9.57
3,1,9.57
3,1,5.26
3,1,9.39
3,1,6.49
3,1,6.15
3,1,16.36
3,1,7.72
3,1,16.43
3,1,7.24
3,1,16.56
3,1,8.35
3,1,5.49
3,1,8.47
3,1,3.97
3,1,16.94
3,1,9.41
3,1,3.15
3,1,3.24
3,1,13.48
3,1,13.27
3,1,5.25
3,1,5.52
3,1,6.14
3,1,7.45
3,1,5.19
3,1,5.83
3,1,5.14
3,1,5.53
3,1,3.14
3,1,8.86
3,1,3.96
3,1,2.37
3,1,5.16
3,1,10.82
3,1,5.29
3,1,3.42
3,1,16.54
3,1,9.19
3,1,4.62
3,1,16.47
4,1,3.56
4,1,6.06
4,1,5.42
4,1,5.63
4,1,6.72
4,1,9.89
4,1,2.51
4,1,8.48
4,1,6.36
4,1,4.77
4,1,6.08
4,1,18.67
4,1,7.53
4,1,4.33
4,1,6.25
4,1,9.48
4,1,12.59
4,1,4.45
4,1,6.67
4,1,7.83
4,1,16.47
4,1,11.92
4,1,7.47
4,1,7.74
4,1,11.32
4,1,7.22
4,1,11.48
4,1,4.41
4,1,11.05
4,1,4.62
4,1,5.42
4,1,8.43
4,1,5.48
4,1,5.32
4,1,18.44
4,1,5.73
4,1,6.39
4,1,11.87
4,1,4.3
4,1,4.68
4,1,4.63
4,1,9.6
4,1,7.61
4,1,6.48
4,1,6.39
4,1,12.25
4,1,4.32
4,1,19.65
4,1,10.63
4,1,5.83
4,1,5.34
4,1,6.1
4,1,4.15
4,1,5.72
4,1,5.18
4,1,7.64
4,1,4.84
4,1,6.21
4,1,8.03
4,1,10.9
4,1,4.22
4,1,15.81
4,1,11.69
4,1,8.3
4,1,8.23
4,1,14.99
5,1,8.61
5,1,8
5,1,8.3
5,1,5.7
5,1,4.81
5,1,5.5
5,1,7.24
5,1,7.59
5,1,4.67
5,1,7.27
5,1,15.01
5,1,7.19
5,1,12.28
5,1,11.78
5,1,6.86
5,1,5.29
5,1,4.77
5,1,5.17
5,1,3.44
5,1,5.31
5,1,5.2
5,1,4.75
5,1,6.81
5,1,14.23
5,1,15.03
5,1,15.9
5,1,14.73
5,1,20.23
5,1,4.5
5,1,3.8
5,1,8.72
5,1,11.17
5,1,16.23
5,1,7.38
5,1,7.62
5,1,7.23
5,1,8.33
5,1,17.51
5,1,7.22
5,1,5.22
5,1,11.4
5,1,12.63
5,1,6.92
5,1,18.36
5,1,5.52
5,1,7.35
5,1,6.35
5,1,4.68
5,1,8.13
5,1,4.88
