row,tree,circ.cm,r.cm,tcsa.cm
1,3,15.1,2.403239641,18.14445929
1,7,12.7,2.021267777,12.83505039
1,9,16.6,2.641972055,21.92836806
1,10,14.3,2.275915686,16.27279716
1,11,14.2,2.260000192,16.04600136
1,12,12.2,1.941690306,11.84431086
1,13,12.6,2.005352283,12.63371938
1,16,13.8,2.196338215,15.15473368
1,17,14.7,2.339577663,17.19589583
1,18,16.6,2.641972055,21.92836806
1,26,12.3,1.9576058,12.03927567
1,27,13.3,2.116760743,14.07645894
1,28,15.5,2.466901618,19.11848754
1,33,16.1,2.562394584,20.6272764
1,34,14.1,2.244084698,15.82079712
1,35,13.9,2.212253709,15.37516328
1,36,14.8,2.355493158,17.43064937
1,37,15.9,2.530563595,20.11798058
1,38,12.5,1.989436789,12.43397993
1,43,12.4,1.973521294,12.23583202
1,44,14.9,2.371408652,17.66699446
1,45,13.3,2.116760743,14.07645894
1,47,14.4,2.291831181,16.5011845
1,49,13.9,2.212253709,15.37516328
1,50,15.7,2.498732607,19.61505096
1,51,14.6,2.323662169,16.96273383
1,55,16.4,2.610141067,21.40315675
1,57,15.4,2.450986124,18.87259315
1,58,15.2,2.419155135,18.38557903
1,65,12.4,1.973521294,12.23583202
1,67,12.7,2.021267777,12.83505039
1,68,13.2,2.100845249,13.86557864
1,69,12.1,1.925774811,11.65093761
1,74,15.8,2.514648101,19.86572
1,75,14.8,2.355493158,17.43064937
1,76,15.6,2.482817112,19.36597348
1,77,14.6,2.323662169,16.96273383
1,79,14.1,2.244084698,15.82079712
1,80,14.7,2.339577663,17.19589583
1,84,12.8,2.037183272,13.03797294
1,87,13.3,2.116760743,14.07645894
1,98,14.2,2.260000192,16.04600136
1,99,12.5,1.989436789,12.43397993
1,100,14.6,2.323662169,16.96273383
1,104,12.7,2.021267777,12.83505039
1,105,13.3,2.116760743,14.07645894
1,106,13.2,2.100845249,13.86557864
1,110,15,2.387324146,17.9049311
1,111,14.6,2.323662169,16.96273383
1,112,13.5,2.148591732,14.50299419
1,117,14.1,2.244084698,15.82079712
1,118,13,2.06901426,13.44859269
1,119,14.5,2.307746675,16.73116339
1,131,12.8,2.037183272,13.03797294
1,132,14.1,2.244084698,15.82079712
1,138,14.4,2.291831181,16.5011845
1,139,13.1,2.084929755,13.65628989
1,140,12.9,2.053098766,13.24248704
1,141,13,2.06901426,13.44859269
1,142,13.5,2.148591732,14.50299419
1,143,15.1,2.403239641,18.14445929
1,144,12.6,2.005352283,12.63371938
1,145,15.1,2.403239641,18.14445929
1,146,12.8,2.037183272,13.03797294
1,147,13.5,2.148591732,14.50299419
1,148,12.7,2.021267777,12.83505039
1,150,13,2.06901426,13.44859269
2,4,15.2,2.419155135,18.38557903
2,5,14.7,2.339577663,17.19589583
2,6,13.5,2.148591732,14.50299419
2,17,16.4,2.610141067,21.40315675
2,18,14,2.228169203,15.59718442
2,19,13,2.06901426,13.44859269
2,20,12.6,2.005352283,12.63371938
2,21,14.8,2.355493158,17.43064937
2,22,15.1,2.403239641,18.14445929
2,23,13.8,2.196338215,15.15473368
2,24,15.1,2.403239641,18.14445929
2,25,14.1,2.244084698,15.82079712
2,29,13,2.06901426,13.44859269
2,30,15.2,2.419155135,18.38557903
2,31,12.9,2.053098766,13.24248704
2,32,14,2.228169203,15.59718442
2,33,16.6,2.641972055,21.92836806
2,43,14.4,2.291831181,16.5011845
2,44,15.9,2.530563595,20.11798058
2,46,16.2,2.578310078,20.88431163
2,47,14.9,2.371408652,17.66699446
2,49,14.1,2.244084698,15.82079712
2,50,15.4,2.450986124,18.87259315
2,53,14.5,2.307746675,16.73116339
2,54,13.6,2.164507226,14.71864914
2,55,16.5,2.626056561,21.66496663
2,56,15.3,2.435070629,18.62829031
2,57,14.7,2.339577663,17.19589583
2,58,14.1,2.244084698,15.82079712
2,59,14.2,2.260000192,16.04600136
2,61,13.3,2.116760743,14.07645894
2,62,12.8,2.037183272,13.03797294
2,63,14.5,2.307746675,16.73116339
2,67,13,2.06901426,13.44859269
2,68,12.1,1.925774811,11.65093761
2,69,13,2.06901426,13.44859269
2,71,12.6,2.005352283,12.63371938
2,72,13.3,2.116760743,14.07645894
2,73,13.2,2.100845249,13.86557864
2,74,13.4,2.132676237,14.28893079
2,89,13.9,2.212253709,15.37516328
2,90,16.7,2.65788755,22.19336104
2,91,12.2,1.941690306,11.84431086
2,103,13.9,2.212253709,15.37516328
2,104,15.7,2.498732607,19.61505096
2,105,13.3,2.116760743,14.07645894
2,110,14,2.228169203,15.59718442
2,112,13.1,2.084929755,13.65628989
2,113,14.8,2.355493158,17.43064937
2,114,16.6,2.641972055,21.92836806
2,115,15,2.387324146,17.9049311
2,116,12.7,2.021267777,12.83505039
2,117,16.5,2.626056561,21.66496663
2,123,12.6,2.005352283,12.63371938
2,124,16.2,2.578310078,20.88431163
2,125,16.3,2.594225572,21.14293842
2,126,15.1,2.403239641,18.14445929
2,127,12.9,2.053098766,13.24248704
2,128,13.6,2.164507226,14.71864914
2,133,14,2.228169203,15.59718442
2,134,12.3,1.9576058,12.03927567
2,135,13.5,2.148591732,14.50299419
2,136,13.6,2.164507226,14.71864914
2,137,12.4,1.973521294,12.23583202
2,138,15.5,2.466901618,19.11848754
2,139,13.4,2.132676237,14.28893079
2,146,15.7,2.498732607,19.61505096
2,148,14.1,2.244084698,15.82079712
